DEBUG | 2019-06-19 17:24:19,814 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:19: Registering line (2) L1920387277
DEBUG | 2019-06-19 17:24:19,816 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:19: Registering label (3) L786041152
DEBUG | 2019-06-19 17:24:19,816 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:0: Registering label (4) L897074030
DEBUG | 2019-06-19 17:24:19,817 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:22: Registering line (5) L897074030
DEBUG | 2019-06-19 17:24:19,817 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:22: Registering label (6) L1885996206
DEBUG | 2019-06-19 17:24:19,817 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:23: Registering line (7) L1885996206
DEBUG | 2019-06-19 17:24:19,817 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:23: Registering label (8) L1859039536
DEBUG | 2019-06-19 17:24:19,817 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:0: Registering label (9) L278934944
DEBUG | 2019-06-19 17:24:19,818 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:29: Registering line (10) L278934944
DEBUG | 2019-06-19 17:24:19,818 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:29: Registering label (11) L1739876329
DEBUG | 2019-06-19 17:24:19,818 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | =============== Detected duplicated code =============
DEBUG | 2019-06-19 17:24:19,818 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | =============== End of detected duplicated code ======
DEBUG | 2019-06-19 17:24:19,818 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Migrating classmap in projectData to store in *.ser file: com/yanxin/ZuulApplication
DEBUG | 2019-06-19 17:24:19,822 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Assigned 4 counters for class:com/yanxin/ZuulApplication
DEBUG | 2019-06-19 17:24:19,839 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(1):L497359413 
DEBUG | 2019-06-19 17:24:19,839 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:1:L1920387277
DEBUG | 2019-06-19 17:24:19,839 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1920387277):null
DEBUG | 2019-06-19 17:24:19,839 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:1:L1920387277
DEBUG | 2019-06-19 17:24:19,839 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1920387277):null
DEBUG | 2019-06-19 17:24:19,839 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(3):L1151593579 
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:3:L786041152
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L786041152):null
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:3:L786041152
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L786041152):null
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(4):L22756955 
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:4:L897074030
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L897074030):null
DEBUG | 2019-06-19 17:24:19,840 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:4:L897074030
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L897074030):null
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(6):L1640639994 
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:6:L1885996206
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1885996206):null
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:6:L1885996206
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1885996206):null
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(8):L1263793464 
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L1859039536
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1859039536):null
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L1859039536
DEBUG | 2019-06-19 17:24:19,841 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1859039536):null
DEBUG | 2019-06-19 17:24:19,842 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(9):L2074185499 
DEBUG | 2019-06-19 17:24:19,843 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:9:L278934944
DEBUG | 2019-06-19 17:24:19,843 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L278934944):null
DEBUG | 2019-06-19 17:24:19,843 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:9:L278934944
DEBUG | 2019-06-19 17:24:19,843 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L278934944):null
DEBUG | 2019-06-19 17:24:19,843 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(11):L797925218 
